pos,name,country,venue,year,result,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
4,SADO Besu,ETH,stockholm dl,2016,4:04.89,nan,nan,47.5,nan,nan,nan,1:53.7,nan,nan,nan,3:00.9,nan,nan,nan,4:04.89
5,MUIR Laura,GBR,stockholm dl,2016,4:05.40,nan,nan,47.7,nan,nan,nan,1:53.8,nan,nan,nan,3:00.8,nan,nan,nan,4:05.40
6,OBIRI Hellen,KEN,stockholm dl,2016,4:05.88,nan,nan,47.6,nan,nan,nan,1:54.0,nan,nan,nan,3:01.6,nan,nan,nan,4:05.88
7,WEIGHTMAN Laura,GBR,stockholm dl,2016,4:05.94,nan,nan,47.5,nan,nan,nan,1:53.9,nan,nan,nan,3:01.1,nan,nan,nan,4:05.94
8,SEYAUM Dawit,ETH,stockholm dl,2016,4:06.07,nan,nan,47.2,nan,nan,nan,1:53.7,nan,nan,nan,3:02.0,nan,nan,nan,4:06.07
9,KRAUSE Gesa Felicitas,GER,stockholm dl,2016,4:06.99,nan,nan,48,nan,nan,nan,1:54.2,nan,nan,nan,3:01.8,nan,nan,nan,4:06.99
1,Faith KIPYEGON,KEN,prefontaine dl,2017,3:59.67,nan,nan,48.71,nan,nan,nan,1:56.60 ,nan,nan,nan,3:00.13 ,nan,nan,nan,3:59.67
2,Hellen OBIRI,KEN,prefontaine dl,2017,4:00.46,nan,nan,48.92,nan,nan,nan,1:56.99 ,nan,nan,nan,3:00.47 ,nan,nan,nan,4:00.46
3,Laura MUIR,GBR,prefontaine dl,2017,4:00.47,nan,nan,48.64,nan,nan,nan,1:56.82 ,nan,nan,nan,3:00.28 ,nan,nan,nan,4:00.47
4,Rababe ARAFI,MOR,prefontaine dl,2017,4:01.75,nan,nan,48.88,nan,nan,nan,1:57.07 ,nan,nan,nan,3:00.66 ,nan,nan,nan,4:01.75
5,Gudaf TSEGAY,ETH,prefontaine dl,2017,4:01.78,nan,nan,48.8,nan,nan,nan,1:56.97 ,nan,nan,nan,3:00.32 ,nan,nan,nan,4:01.78
6,Brenda MARTINEZ,USA,prefontaine dl,2017,4:03.56,nan,nan,48.75,nan,nan,nan,1:57.10 ,nan,nan,nan,3:01.02 ,nan,nan,nan,4:03.56
7,Kate GRACE,USA,prefontaine dl,2017,4:03.59,nan,nan,48.6,nan,nan,nan,1:56.59 ,nan,nan,nan,3:00.16 ,nan,nan,nan,4:03.59
8,Jenny SIMPSON,USA,prefontaine dl,2017,4:04.16,nan,nan,49.13,nan,nan,nan,1:56.80 ,nan,nan,nan,3:00.80 ,nan,nan,nan,4:04.16
